Description,Sentiment_Analysis,Polarity,Topic
zafersahin06 hayir türkiye nin dedigi irksal bir gündemi yok geçen akinci belgeseli verildi corona tedbirlerinde dünya tekiz bunlar ruhu satilmis üllesinden nefret eden aydin tipi bence türkiye nin önümüzdeki tek gündemi bunun sözde aydinimsilari yoketmektir,-1,-0.9946814775466919,kultur 
31052020 corona virüs raporu türkiyedeki corona virüsü salginiyla ilgili son veriler açiklandi son 24 saatte 25 kisinin hayatini kaybetmesi sonucu can kaybi 4 bin 540 oldu,-1,-0.9920328855514526,teknoloji 
verilere göre corona virüs türkiye hazirannin 15 yada 20 sine kadar bitecek,-1,-0.9694263935089111,teknoloji 
yalan 4 cumhuriyet gazetesi salginda ölü sayisi artiyor basligiyla haber servis ederek yalnizca istanbul havalimaninin fotografini kullanip manipülasyona imza atti havalimanindaki ekipler çin’deki corona virüsünden türkiyenin etkilenmemesi çalismalari yürüttü,-1,-0.9966008067131042,dunya 
31 mayis koronavirüs tablosu koronavirüsten bugün kaç kisi öldü corona virüsü vaka sayisi türkiye açiklandi,-1,-0.8663427233695984,saglik 
bayram nostalji corona korona coronavirus salgin pandemi covid koronavirüs koronavirüsü türkiye dünya insanlik saglik hayat,1,0.8307631611824036,saglik 
italyan doktorlar bugünkü corona 2 ay önceki ayni degil zayifladi gücünü yitirdi diyortabii türkiye deki pesimist tiplerin izolasyon manyaklarinin isine gelmeyecek bir haber,-1,-0.9967312812805176,dunya 
dünyada tamamen corona bitmeden türkiye bitmez yapilan açiklamalar üzerine gebelerin çalisma sahasina dönmesi peki hiçmi yavrularimizin cani düsünülmüyor sesimizi duyun drfahrettinkoca saglikbakanligi hamilelereidariizin hamilelereidarizin,-1,-0.9903244376182556,saglik 
türkiyedeki corona virüsü salginiyla ilgili son veriler açiklandi son 24 saatte 25 kisinin hayatini kaybetmesi sonucu can kaybi 4 bin 540 oldu vaka sayisi 839 artarak 163 bin 942ye yükseldi saglik bakani koca güncel verilerle ilgili yaptigi açiklamada,-1,-0.8895594477653503,saglik 
türkiye sigaradan yil enaz 100 bin kisi ölüyor fakat coronadan korkan kesim sokaga çikmiyor maske takiyor sigara içenler asil öldürecek sizi corona hafif kalir tütünsüzgençlik,1,0.9800235629081726,saglik 
falkor469 geçöis sürecine corona etkisini eklersek tabii bir sarsinti var zaten dünyada var corona nedeniyle türkiye kötü durumda,-1,-0.9906705021858215,kultur 
suan mersinin tatil yerlerini görmeniz lazim tiklim tiklim bir sosyal mesafe nede baska bir sey bekle bizi corona virüs türkiye geliyor drfahrettinkoca emeklerinize gerçekten üzülüyorum,-1,-0.9987955093383789,teknoloji 
türkiye’de coronadan kaynakli can kaybi vaka sayisi açiklandi türkiyedeki corona virüsü salginiyla ilgili son veriler açiklandi son 24 saatte 25 kisinin hayatini kaybetmesi sonucu can kaybi 4 bin 540 oldu…,-1,-0.9875845313072205,saglik 
türkiye’de corona’dan can kaybi 4 bin 540 oldu byprotokol araciligiyla güncel haberler by protokolde saglikbakanligi drfahrettinkoca,1,0.6464513540267944,saglik 
31 mayis itibari türkiye koronavirüs tablosu 44 4 aktif vaka sayisi iyilesen hasta sayisi vefat sayisi grafikleri evdekal hayatevesigar koronaturkiye koronavirus coronatürkiye covid19 coronavirus corona sondakika,-1,-0.8157910108566284,saglik 
31 mayis itibari türkiye koronavirüs tablosu 34 3 günlük vaka toplam vaka grafikleri evdekal hayatevesigar koronaturkiye koronavirus coronatürkiye covid19 coronavirus corona sondakika,-1,-0.8415265679359436,saglik 
31 mayis itibari türkiye koronavirüs tablosu 24 2 genel tablo evdekal hayatevesigar koronaturkiye koronavirus coronatürkiye covid19 coronavirus corona sondakika,1,0.74506014585495,teknoloji 
31 mayis itibari türkiye koronavirüs tablosu 14 1 son 10 gün verileri evdekal hayatevesigar koronaturkiye koronavirus coronatürkiye covid19 coronavirus corona sondakika,1,0.8564289808273315,teknoloji 
söyle mi olacak bir sonraki seçimde abdli cumhuriyetçiler tartisilirken yau bi bi corona basedemediler be yau türkiyeden bile gelecek maskeye muhtaç ettiler yau siyah adami göz göre göre öldürdüler yau vatandasa zulmettiler spacex yaptilar,-1,-0.9878295660018921,dunya 
muhamedakin corona virüsünden sonra avrupadaki camilerde bes vakit namaz kilmaya tedbirlere uymak sartiyla izin verildi türkiyede 2 vakit izin verildi bunun 5 vakte çikarilmasini istiyoruz bunun bir kampanya baslattik elbet 5 vakit namazin farz oldugunu biliyoruz,-1,-0.9821826815605164,dunya 
türkiyedeki corona virüsü salginiyla ilgili son veriler açiklandi son 24 saatte 25 kisinin hayatini kaybetmesi sonucu can kaybi 4 bin 540 oldu vaka sayisi 839 artarak 163 bin 942ye yükseldi vaka163942 karantina maske sosyalmesafe coronaviruspandemic evdekal,-1,-0.9843437671661377,saglik 
31 mayis koronavirüs tablosu koronavirüsten bugün kaç kisi öldü corona virüsü vaka sayisi türkiye açiklandi gündem türkiyeneler yapilmis video haber video paysasimi newturkeyinfo araciligiyla,1,0.7455599308013916,teknoloji 
türkiyede 31 mayista covid19dan 25 toplamda 4540 kisi öldü link bioda istanbulgercegi saglikbakanligi drfahrettinkoca korona koronavirüs saglik yasam maske corona covid19 turkey…,1,0.9443216919898987,teknoloji 
türkiye’de corona virüste son durum,-1,-0.9503549337387085,teknoloji 
türkiyede 31 mayista covid19dan 25 toplamda 4540 kisi öldü istanbulgercegi saglikbakanligi drfahrettinkoca korona koronavirüs saglik yasam maske corona covid19 turkey iyilikbulasicidir toplumsaldayanisma istanbulgerçegi pazar pandemia,1,0.7044579982757568,saglik 
türkiyede 31 mayista covid19dan 25 toplamda 4540 kisi öldü istanbulgercegi saglikbakanligi drfahrettinkoca korona koronavirüs saglik yasam maske corona covid19 turkey iyilikbulasicidir toplumsaldayanisma istanbulgerçegi pazar pandemia,1,0.7044579982757568,saglik 
türkiyede 31 mayista covid19dan 25 toplamda 4540 kisi öldü istanbulgercegi saglikbakanligi drfahrettinkoca korona koronavirüs saglik yasam maske corona covid19 turkey iyilikbulasicidir toplumsaldayanisma istanbulgerçegi pazar pandemia,1,0.7044579982757568,saglik 
31 mayis türkiye corona virüs rakamlari,-1,-0.9340522289276123,teknoloji 
türkiyede 31 mayista covid19dan 25 toplamda 4540 kisi öldü istanbulgercegi saglikbakanligi drfahrettinkoca korona koronavirüs saglik yasam maske corona covid19 turkey iyilikbulasicidir toplumsaldayanisma istanbulgerçegi pazar pandemia,1,0.7044579982757568,saglik 
türkiyede corona virüsten son 24 saatte 25 can kaybi,-1,-0.9960652589797974,teknoloji 
türkiyede 31 mayista covid19dan 25 toplamda 4540 kisi öldü istanbulgercegi saglikbakanligi drfahrettinkoca korona koronavirüs saglik yasam maske corona covid19 turkey iyilikbulasicidir toplumsaldayanisma istanbulgerçegi pazar pandemia,1,0.7044579982757568,saglik 
türkiye’de corona’dan can kaybi 4 bin 540 oldu,-1,-0.9844796061515808,ekonomi 
türkiyede son bir gün içinde 839 yeni vakanin tespit edilmesi sonucu vaka sayisi 163 bin 942 oldu bugün 25 vatandasimiz corona virüsü salgini nedeniyle hayatini kaybetti vefat edenlerin sayisi 4 bin 540’a yükseldi,-1,-0.9053388833999634,saglik 
bakan koca türkiye’de corona kaynakli can kaybi vaka sayisini açikladi,-1,-0.9952791333198547,siyaset 
türkiyede son 24 saatte 25 kisi coronavirüs nedeniyle hayatini kaybetti 839 kisiye corona teshisi kondu türkiyede toplam can kaybi 4 bin 540a vaka sayisi 163 bin 942ye yükseldi,-1,-0.9941760301589966,saglik 
dünyada tamamen corona bitmeden türkiye bitmez yapilan açiklamalar üzerine gebelerin çalisma sahasina dönmesi peki hiçmi yawrularimizin cani düsünülmüyor sesimizi duyun drfahrettinkoca saglikbakanligi hamilelereidariizin hamilelereidarizin,-1,-0.985724151134491,saglik 
son durum 31052020 corona covid19 türkiye corona coronavirus koronavirus coronaturkiye olumhaberi koronaturkiye,1,0.7862083911895752,teknoloji 
corona virüste son durum türkiyede son 24 saatte 25 kisi hayatini kaybetti,-1,-0.9621912240982056,teknoloji 
türkiyede corona virüsü vefat vaka sayisi kaç oldu konyayenigun1 araciligiyla,-1,-0.9845762252807617,saglik 
sondakika türkiyede vaka sayisi öngörülen seviyede seyrediyor saglikbakanligi vaka corona coronaturkey haberler sondakikahaberler heran haberankara covid19,1,0.8350929021835327,saglik 
31 mayis 2020 türkiye bugünkü test sayisi 35600 vaka 839 ölüm 25 iyilesen 989 toplam test 2039194 toplam vaka 163942 toplam ölüm 4540 toplam entübe 287 toplam iyilesen 127973 düsüse geçiyoruz sükür,-1,-0.9239222407341003,saglik 
türkiye’de günlük corona testpozitif vaka orani 23 mayis — oran 295 •24 mayis —oran 464 •25 mayis —oran 459 •26 mayis — oran 477 •27 mayis— oran 491 •28 mayis— oran 352 •29 mayis —oran 315 •30 mayis — oran 250 •31 mayis —oran 235,1,0.9790197014808655,saglik 
türkiye’de vaka sayisi 163 bin 942’ye can kaybi 4 bin 540’a yükseldi günlük vaka sayisi 900ün altina indi iyilesen sayisi binin altina geriledi corona coronavirus korona koronavirus coronaviruspandemic covid19 pazar,-1,-0.994842529296875,saglik 
türkiyede son 24 saatte 839 kisiye kovid19 tanisi kondu 25 kisi hayatini kaybetti toplam vaka sayisi 163 bin 942 can kaybi 4 bin 540 oldu samsun corona samsunmeydan,-1,-0.9806931614875793,teknoloji 
son dakika saglik bakanliginin güncel corona virüsü tablosuna göre türkiyedeki vaka sayisi 163 bin 942 can kaybi 4540 yogun bakim hasta sayisi 648 oldu,-1,-0.9928766489028931,saglik 
prof dr fatih tank ellerindeki verileri degerlendirerek simülasyonlar yaptiklarini buna göre corona virüsü salgininin türkiye’de basladigi tarih olan 11 mart’tan 180 gün sonra yok olmasini beklediklerini söyledi,-1,-0.9882667660713196,teknoloji 
drfahrettinkoca türkiye’de çesitli sebeplerle günlük toplam ölüm yaklasik 1200 bugün corona’dan ölen 25 hayatini kaybedenlere olan hassasiyetimizi artik herkese gösterip normale tamamen dönmeliyiz,-1,-0.7836735844612122,saglik 
sondakika corona virüste son durum türkiyede son 24 saatte 25 kisi hayatini kaybetti,1,0.7206369638442993,teknoloji 
günaydin mesajini kime uzatarak yolluyorsan ona aitsin kiral haberin olsun tiktok tiktokindia tiktokindonesia tiktokhot vinetürkiye vine twitter gündem gündemhaberleri türkiye istanbul corona covid19 btc bitcoin scorp ankara travelphotography,1,0.9953658580780029,teknoloji 
sondakika türkiyede corona virüsten toplam iyilesen hasta sayisi 127 bini geçti,-1,-0.9857174754142761,saglik 
güncel türkiye koronavirüs tablosu saglik bakanligi corona virüsü son dakika vaka sayisi ölüm sayisini merak ediliyor türkiyede güncel koronavirüs vaka ölüm rakamlarini gün açikliyor son türkiye corona… türkçe sondakika gündem,1,0.6851794719696045,saglik 
türkiyede ikinci dalga bekleniyor saglik bakani fahrettin kocadan soruya yanit geldi corona coronavirus coronaviruspandemic korona koronavirus covid19 fahrettinkoca pazar ikincidalga,-1,-0.971898078918457,saglik 
haziran eylül corona türkiye programi cenaze törenleri taziye evleri dügün açilis gece kulübü hali saha kurban bayrami eylül saygi durusu kapanis,0,0.5114744901657104,kultur 
bakan koca dünyada salgin bitmedikçe türkiye’de sifirlamak kolay olmaz corona coronavirus coronaviruspandemic korona koronavirus covid19 fahrettinkoca pazar,-1,-0.9576514363288879,teknoloji 
corona bilim kurulu göya bizi korumaya calisiyor merak etmeyin bizim aklimiz basimizdadevlet baskanimiz bile 65 yas üstü koskoca türkiyeyi idare ediyor insani eceli öldürür ecelimiz gelmisse corona bahane serbest birakin insanlari,-1,-0.965982973575592,teknoloji 
evdekal covid19 virus corona italya türkiye,-1,-0.9763432741165161,kultur 
kiyiemniyet uabakanligi selimdursun06 türkiye’miz kiyi emniyet emniyet genel müdürlügü’müzün corona virüs sonrasi ‘yeni bir normal’e hazir olmak yogun bir sekilde çalismalarini sürdürdüklerini sorunlarimizin çözümü yogun çalistiklarini biliyoruzkilavuz kaptanlar haftamiz kutlu olsun,-1,-0.6053521037101746,siyaset 
hilalkaplan alman devleti almanya’daki türklerin bile yaz türkiye gitmesini istemiyor nedeni türkiye’de corona basari hikayesininin yalan ibaret oldugunu bildikleri hilalkaplan hanim,-1,-0.7986716032028198,dunya 
candundaradasi büyümede avrupa birincisi corona pandemisiyle mücadelesini bbc nin bile övdügü türkiye artik yasanmaz deyip abd ye göçüyordunuz geçen sene bak gidince güzel oldu aziz vatanamiz sürünün abd dönen serefsizdir,-1,-0.9789209365844727,dunya 
hilalkaplan yunanistan disaridan turist kabul etmeye baslamis türkiye hariç bütün komsularinin dahil oldugu 25 ülkeden turist kabul edecekmis buna çin almanyada dahilmis merak ediyorum madem coronada basariliysak yunanistan bizi kabul etmiyor,-1,-0.8439245820045471,dunya 
iyi aksamlaryagmur soguk dün gece üsüdümyorgani mi çikarsamcorona dan dolayi güvenilir yertürkiyebir yere gitmek yoksehir degistirmek bile riskli”basari istedigini elde etmekmutluluksa elde ettigini sevmektir”hjackson brownmayis2020ankara,1,0.8394753336906433,saglik 
eczozgurozel sadece tursu ihracati 250300 milyon dolar olmus bbc bile corona pandemisin türkiye nin basarisini anlatiyor allah cumhurbaskani sayin recep tayyip erdogan i milletin basinda daim eylesin chp abd dagilir yakinda,-1,-0.6782001852989197,siyaset 
hincal uluçun kadar bos oldugunu corona sayesinde ögrendik adamin yazdiklarina bakin yahu türkiye sabahattin aliyi ali kocatepe sarkilari sayesinde ögrenmis,-1,-0.9978534579277039,kultur 
türkiyecorona virüs salgini sonrasi tedbiri hayata geçiren ülke oldu,-1,-0.9053831696510315,saglik 
15 temmuz darbesinden önce türkiyenin büyüme orani49 cari açik1 issizlik 102 1 dolar 287 lira faiz orani87 enflasyon764 15 temmuz darbesi olmasaydi türkiye uçusa geçerdi 15 temmuz coronaya ragmen gün devasa açilislar yapan reisim sen yasa,-1,-0.6026232838630676,ekonomi 
herefordtwr yavuzakinci56 sagbekovic temmuz1919 amerika uygur türklerini savunuyor çinin düsmesini istiyor bunun herkes farkinda çinin düsmesi özellikle türkiye tekstil sanayisinde büyük bir firsat yakalamak demektir fark ettiysen corona çinde terör estirirken çinin küçülmesi bizim büyümemiz demekti,0,-0.5310075879096985,ekonomi 
benim çocuklar saka olsun canli yayina çikmis dünyaya corona virüs tespit kiti satan türkiyenin markasi olabilmeyi basarmis rtalb sirketinin hisseleri kadar etmez demisler kusura bakma a1capitalmenkul günahini aldik cidden saka gibisiniz,-1,-0.9500883221626282,teknoloji 
dogum günümü deniz kenarinda geçirme fikri çikar misin aklimdan corona günlerinde türkiye hala atlatamamisken imkansiz geliyorsun bana,-1,-0.7433668971061707,saglik 
ipsosun corona virüsü arastirmasindan çarpici sonuçlar haberi arastirma oran salgini toplum türkiye sondakika haber haberler haberverme,-1,-0.9422155022621155,teknoloji 
sondakik sondakika habercoronacumhurbaskani erdogan “türkiye’nin ihtiyaci kavga degil eser siyasetidir”,1,0.9893943071365356,siyaset 
emralp avukatbahatttin yandas medyaya göre türkiye tozpembe market kasap gida ürünlerine ardi ardina gelen zamlarin z sinden bile bahsetmeyip vatandasi yanli haberlerle oyalamaktan baska isleri yok corona virüs olduda rahatladilar gündemleri doldu,-1,-0.9985445737838745,ekonomi 
türkiye coronadan ölecek bitecek heryeri açiyorlar hepimiz corona olacak doktor kadar heyecanlandigi gösteriden nasil ir sosyal mesafe çikardi,-1,-0.9979829788208008,kultur 
coronaturkiye corona coronavirüs salgin hastaneacil hastane sehir sehirhastanesi acildurumhastaneleri türkiye istanbul bursa ankara rterdogan receptayyiperdogan akp akparti akpartigençlik cumhurbaskani cumhurbaskanligi fahrettinkoca saglikbakanligi,0,0.5069559812545776,siyaset 
haber habercik corona sondakika türkiye türkiyem tv dizi oyuncu magazin dünyamagazin açiklama büsrapekin ersinkorkut safaksezer,-1,-0.7833783626556396,kultur 
haber habercik corona sondakika türkiye türkiyem haber survivor dokunulmazlik tv8 yarisma sondakika acunilicali nisabolukbasi sercanyildirim acunmedya cemalcancanseven ezgi veda survivoraveda survivor2020 survivorturkiye survivor,-1,-0.9049116373062134,spor 
a song on sunday by ahura 8 and his classmates in quarantine in istanbul turkey enjoy this amazing performance now on my quarantinelife youtube daily new stories by kids corona covid19 cuarentena music children school türkiye,1,0.9976993203163147,kultur 
türkiyede corona virüs zaman bitecek ünlü profesörden son dakika açiklamasi ilk vaka sayisindan 180 gün sonra yasambiçimimizdegisti maske sosyalmesafe ayasofyabizimdiribadeteaçilacaktir greece,1,0.7635008096694946,saglik 
black mirror bandersnatch interaktif sekilde corona ilgili bir bölüm çekebilir türkiyedesin 1 haziran sabahi yapmak istersin sorusuyla baslar mesela netflixturkiye,1,0.9622402787208557,kultur 
pamukseker1919 corona denen virüs türkiye’de baska hollanda’da baska bulasiyor galiba burda 12 yas alti çocuklar serbesti hatta okula bile basladilar,-1,-0.9143253564834595,teknoloji 
corona virüsü basarili mücadele edip hemde 45 günde hastane açabilen türkiye nereden sagliklitürkiye,1,0.8417108058929443,saglik 
anlasilan bütün türkiye ye corona mesaji gelmis çeliskilerin iktidari diyoruz kadar hakliyiz hani büyümede rekorlar kirdik parasi,-1,-0.9248409271240234,ekonomi 
gunlukpozitif0 sewilay drfahrettinkoca geçen sene türkiye’de grip türevlerinden 62000 kisi öldü toplam 12 ayda 62000 kisi corona’dan 25 ayda 4515,0,0.5416197180747986,saglik 
corona canli sayaç linke tikla abdyaniyor coronavirus covid19 türkiye,1,0.7492966651916504,teknoloji 
corona 8119 bize yeteriz türkiye gün yasak oldugundan acil göndereyim dedim,-1,-0.9691969752311707,kultur 
serkan bey sayesinde dün 2625600 tl bir kazancim oldu benden ufak bir miktar komisyon istedi elimde avcumdaki son parami cikartim zor guvendim kazandim amacim reklam yapmak degil türkiye olarak kazanmak sizde mesaj atin sizde kazanin corona,1,0.8325409293174744,ekonomi 
turkey corona mersin türkiye mersinbüyüksehir korona pandemi aile covid19 mersinhaber secervahap mersinbld mbbiletisim,1,0.9785012602806091,kultur 
emreonarcom hersey normale dönünce “corona günlerinde türkiyeingiltere farki” podcast’i gelsin zaman haha,1,0.9486863613128662,teknoloji 
seytan üçgeninde ask kitapyurducom seçkin kitapçilarda kitap oku paylas yazar yenikitap siir okul sair okuoku kitapönerisi kitapyurdu dr idefix babil kitapseç paranayayinlari covid19 corona türkiye türkiyeokuyor kütüphane set evdekeyfimyerinde,1,0.852740466594696,kultur 
türkiyecorona virüs salgini sonrasi tedbiri hayata geçiren ülke oldu,-1,-0.9053831696510315,saglik 
uyariyorum corona virüsünün merkez üslerinden haline gelen rusyada salginin artis hizi hala artiyor turizm mevsiminin açilmaya çalisildigi su günlerde gelen rus turistler vasitasiyla türkiyede covid 19 salgininin 2 evresini baslatabilir konuda bir önlem var mi,-1,-0.98736971616745,dunya 
nisan ayinda türkiye yakin corona virüsü vaka ölüm sayisina sahip olan brezilyada önlemlerin alinmamasi sonucunda aci bilanço artiyordün 30 bin yeni vaka 890 ölüm gerceklesti,-1,-0.990388810634613,dunya 
türkiyecorona virüs salgini sonrasi tedbiri hayata geçiren ülke oldu,-1,-0.9053831696510315,saglik 
marmara dezenfektan fiyat merak ettiginiz sorulariniz ilt 905447747262 dm dezenfektantüneli dezenfektan sensörlüeldezenfektani avm magza saglik corona sterilizasyon yenidüzen 1haziran kahvehane covid19 sosyalmesafe türkiye boddybuilding kahve,1,0.7632150650024414,saglik 
türkiye kesfet sondakikahaber dünya corona virüs hayat yasam canli sondakikaturkiye haber haberler can istanbul hasar sorunlar öneçikar hasta takipet gt hastalik ankara,0,-0.587851881980896,saglik 
türkiye kesfet sondakka dünya corona virüs hayat yasam canli sondakikaturkiye haber haberler can istanbul hasar sorunlar öneçikar hasta takipet pazar hastalik ankara suçüstü,0,0.5058485269546509,saglik 
son dakika haberi 30 mayis corona virüs test sayisi açiklandi vaka sayisi 1000in altina indi türkiye corona vaka ölüm sayisi son durum,-1,-0.926499605178833,saglik 
türkiye dahil neredeyse bütün ülkeler çogunlukla mecburiyetten “yokmus gibi” yaparak corona sayfasini kapatmaya hazirlaniyor halklar bikti riski göze alarak normallesmek istiyor ilginçtir kavusmaya can attigimiz “normal” çalismamamiza ancak iki ay tahammül edebildi,-1,-0.9151756763458252,dunya 
prof dr fatih tank bilimsel arastirma projesi kapsaminda ülkelerin corona virüsü verilerini analiz etti verileri türkiyedekilerle karsilastirarak yorumladi ‘salginin basladigi tarihten 180 gün sonra bitecegi gözüküyor’,-1,-0.9385691285133362,saglik 
türkiyeden dersler alacaksiniz türkiyenin dünyaya sunacagi dersler varsehit ilhan varank hastanesinde çekim yapan bbcturkiyeyi öve öve bitiremedi türkiyenin corona sürecinde basari hikayesi yazdigini vurguladi birzaferaniti millihesaplaryanyana,1,0.9680444598197937,kultur 
türkiye halklarina illet zillet denirken soma madenci tekmelenirken çorlu katliaminda anneler suçlanirken memleket soyulurken cengizgillerin vergisi affedilirken corona maske dagitamayan ekonomi uçarken halkina iban yollayan gitmedigimiz yol köprü havaalani vb müsteri,-1,-0.998479425907135,siyaset 
almanya turist gönderecegi ülkeleri açikladi içinde türkiye yok rusyanin zaten corona basi dertte hatta rusya gönderse bile almamaliyiz kadar zordalar vebali bile gelse turist olarak kabul edecekler murat muratoglu,-1,-0.9899148344993591,dunya 
mkakubiilli valla türkiye durmadi zikkimin kökü corona vurusunde bile zamlari gördük valla madalya takilacak ulkeyiz,1,0.7323212027549744,ekonomi 
gna kargo türkiyenin hizmetinde yükümü al hatti 0342 238 24 00 evdekal corona korona virüs eliniyika maske eldiven yükümüal nakliye tasimacilik nakliyat nakliyatfirmalari gnakargo gnatasimacilik gaziantep yüktasima kargo türkiye,1,0.7058744430541992,ekonomi 
30 mayis 2020 coronatürkiye drfahrettinkoca covid19 covid19tr,1,0.9965219497680664,kultur 
ibrahimsadri24 atvdehaftasonu almanya frankfurttan selamlar corona virus salginiylan basarili ülkelerden türkiye yanisira almanya basarili oldu almanyada hayat yavas yavas normale dönüyor rizedeki akrabalarima selamlar alahattin sebahattin kurt,-1,-0.9549153447151184,dunya 
gelen zamlarkatlanan issizliküretim yapamayan çiftçikapanan is yerlericorona dolayisiyla yasanan olumsuzlukisten çikarilan emekçileristihtamin olmadigi bir dönemtl nin deger kaybiüretimlerine ara veren fabrikalar arasin mucizevi bir sekilde büyüyen ülke türkiye,-1,-0.9975606203079224,ekonomi 
atvdehaftasonu almanya frankfurttan selamlar corona virus salginiylan basarili ülkelerden türkiye yanisira almanya basarili oldu almanyada hayat yavas yavas normale dönüyor rizedeki akrabalarima selamlar alahattin sebahattin kurt,-1,-0.9555778503417969,dunya 
son dakika haberi saglik bakani koca 30 mayis corona virüs tablosunu açikladi dikkat çeken rakam son dakika haberi saglik fahrettin koca 30 mayis türkiye günlük koronavirüs tablosunu paylasti dün yapilan 39 bin 230… türkçe sondakika gündem,1,0.828292727470398,saglik 
cuneytozdemir türkiyedeki coronadan kendini koruyamayan amerikaya nerden nereyeee,-1,-0.9376553893089294,dunya 
ahmose1tao2 mahmouedgamal44 sen türkiyeyi arastir gsyih miz misirin üç kati çinden sonra adriyatige kadar türk sanayisi lider ayrica corona mücadele dünya saglik örgütü verilerini takip et dünyada iyi ülkeler arasindayiz saglik sistemimiz avrupadan iyi 80 ülkeye yardim ettik,1,0.9585164785385132,teknoloji 
kanadada geldikten 10 gün sonra dedim allahim olur bir sey yap burada kalayim hay agzima siçsinlar coronadan dolayi evden çikamama türkiyeye dönememekle sinaniyorum detaysiz dilek dilemeyin arkadaslar,-1,-0.9541859030723572,dunya 
salaklar orasini türkiye mi zannettiniz hukuk birsey var hani sizin bilmediginizmahkeme corona nedeniyle çalisanlarin maasini düsüren simit sarayi’ni haksiz buldu gazetesozcu gazetesozcu araciligiyla,-1,-0.9868035316467285,siyaset 
